table_year,scenario,throttle_scenario,recipient_sector,recipient_sector_name_ru,supplier_sector,supplier_sector_name_ru,direct_recipient_va_impulse_bn_rub,indirect_output_effect_bn_rub,indirect_va_effect_bn_rub,indirect_employment_effect_thousand
2019,Fast,SanctionBase,K,Финансы и страхование,C_mach,Машиностроение (ОКВЭД 26–30),2339.7478604505704,45.8680463958732,12.72443286061269,2.9638308171618073
2019,Fast,SanctionBase,K,Финансы и страхование,DE,Энергетика и ЖКХ,2339.7478604505704,37.13603072124385,11.287773139590835,4.469771536876408
2019,Fast,SanctionBase,K,Финансы и страхование,F,Строительство,2339.7478604505704,5.70942642875082,2.4289318695079416,1.3104462759490387
2019,Fast,SanctionBase,K,Финансы и страхование,G,Оптовая и розничная торговля,2339.7478604505704,30.537004663878605,17.396962163353678,8.920096908966748
2019,Fast,SanctionBase,K,Финансы и страхование,H,Транспорт и логистика,2339.7478604505704,36.42172956270513,16.142852670199893,7.041078389390307
2019,Fast,SanctionBase,K,Финансы и страхование,J,ИТ и связь,2339.7478604505704,191.81534027580622,96.23617358170046,21.445358558654483
2019,Fast,SanctionBase,K,Финансы и страхование,K,Финансы и страхование,2339.7478604505704,613.1891858863119,423.10460839263294,21.196222117427464
2019,Fast,SanctionBase,K,Финансы и страхование,M,Профессиональные и научные услуги,2339.7478604505704,140.3807912890146,81.87058944002781,17.685974503270742
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,B,Добыча полезных ископаемых,1822.8869880614347,68.55801221718323,48.331147466619605,2.6472311810467963
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,C,Обрабатывающая промышленность,1822.8869880614347,350.4518418271342,96.95914189295179,26.462444407119037
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,C_mach,Машиностроение (ОКВЭД 26–30),1822.8869880614347,333.2969705812267,92.46120683238846,21.536470599807117
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,DE,Энергетика и ЖКХ,1822.8869880614347,92.63389456559692,28.15676222216921,11.149612310139934
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,F,Строительство,1822.8869880614347,36.78946515607173,15.65115261486707,8.4440386805158
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,G,Оптовая и розничная торговля,1822.8869880614347,128.07907317881572,72.96677635986104,37.4128948579258
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,H,Транспорт и логистика,1822.8869880614347,119.49735498370144,52.963662603100055,23.101325880652393
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,J,ИТ и связь,1822.8869880614347,290.65436307056785,145.82495694305948,32.49576923161168
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,K,Финансы и страхование,1822.8869880614347,104.39043188857504,72.03009090956527,3.6084830459724735
2019,Fast,SanctionBase,M,Профессиональные и научные услуги,M,Профессиональные и научные услуги,1822.8869880614347,548.0398848033664,319.6188594857115,69.04519728381287
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,B,Добыча полезных ископаемых,165.69035930842074,21.326227501475806,15.03429012812259,0.8234698263590348
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,C,Обрабатывающая промышленность,165.69035930842074,25.884224118216526,7.161361018913051,1.9545048990998932
2019,Fast,SanctionRelief,B,Добыча полезных ископаемых,C_mach,Машиностроение (ОКВЭД 26–30),165.69035930842074,8.420453692020969,2.335950756116333,0.5440999150367358
