record_type,scenario,throttle_scenario,occupation_digit,occupation_name_isco08,quintile,ai_exposure_score,baseline_employment_thousand,employment_delta_2035_thousand,baseline_labour_income_bn_rub,labour_income_delta_2035_bn_rub,profit_gain_allocated_bn_rub,total_income_delta_bn_rub,gini_baseline_proxy,gini_post_proxy,gini_delta_proxy
occupation,Friction,BaseThrottle,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-8.35021439069015,636.6534585903457,-73.98423468659232,0.0,-73.98423468659232,,,
occupation,Friction,BaseThrottle,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-0.42561203279886706,40.18139984251213,-4.3129924586198785,0.0,-4.3129924586198785,,,
occupation,Friction,BaseThrottle,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-44.61594207729898,6061.847310147665,-534.3619044951425,0.0,-534.3619044951425,,,
occupation,Friction,BaseThrottle,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-20.72563048737724,5166.009013777703,-692.7739010607074,0.0,-692.7739010607074,,,
occupation,Friction,BaseThrottle,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-1.3046115839680592,994.3541501882039,-94.64202531137158,0.0,-94.64202531137158,,,
occupation,Friction,NoThrottle,1.0,Managers,,0.8163266095070527,1519.594612075267,-36.65639254637311,3178.0043321481617,-317.6812907153815,0.0,-317.6812907153815,,,
occupation,Friction,NoThrottle,2.0,Professionals,,0.8060153253325375,8696.048042062022,-337.4486506582227,18796.989848351026,-1531.7207050577292,0.0,-1531.7207050577292,,,
occupation,Friction,NoThrottle,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-84.82894563813133,5648.68995965144,-649.2052798027992,0.0,-649.2052798027992,,,
occupation,Friction,NoThrottle,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-29.40019567987488,1474.9121057441764,-191.6552463199527,0.0,-191.6552463199527,,,
occupation,Friction,NoThrottle,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-9.465318402549222,636.6534585903457,-75.84435288486813,0.0,-75.84435288486813,,,
occupation,Friction,NoThrottle,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-0.4845134163626027,40.18139984251213,-4.396463127935295,0.0,-4.396463127935295,,,
occupation,Friction,NoThrottle,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-50.49326696363058,6061.847310147665,-542.8331688549449,0.0,-542.8331688549449,,,
occupation,Friction,NoThrottle,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-23.074521013321043,5166.009013777703,-703.6197216793346,0.0,-703.6197216793346,,,
occupation,Friction,NoThrottle,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-1.4642106672474209,994.3541501882039,-96.38154444624128,0.0,-96.38154444624128,,,
occupation,Friction,SanctionBase,1.0,Managers,,0.8163266095070527,1519.594612075267,-29.17777607570526,3178.0043321481617,-301.4360331349819,0.0,-301.4360331349819,,,
occupation,Friction,SanctionBase,2.0,Professionals,,0.8060153253325375,8696.048042062022,-269.6991924632216,18796.989848351026,-1466.4437534148192,0.0,-1466.4437534148192,,,
