country_iso3,sector_id,sector_name_ru,rti_staffing_base,rti_base_year,rti_base_source,rti_n_occ_available,rti_weight_coverage,rti_sector_total_employment,rti_classified_employment,rti_total_source,is_proxy_mn,staffing_proxy_exact,rti_proxy_source,rti_year_priority,rti_year_distance,rti_base_year_exact
NLD,M,Профессиональные и научные услуги,-0.16641866212273887,1995,BA:2236,9,0.960947009439855,654.777,629.206,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
PRT,C,Обрабатывающая промышленность,0.38046945364581247,1995,BA:2252,8,0.9958093524105679,1004.618,1000.4079999999999,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
PRT,DE,Энергетика и ЖКХ,0.2792359768215488,1995,BA:2252,6,0.9561152746658426,38.829,37.125,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
PRT,F,Строительство,0.44144450882455144,1995,BA:2252,8,0.9985679743997885,363.122,362.602,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
PRT,H,Транспорт и логистика,0.32402054789308526,1995,BA:2252,8,0.9982632248193445,193.462,193.126,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
PRT,J,ИТ и связь,-0.058521563834704735,1995,BA:2252,8,0.9985960234130773,198.009,197.731,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
PRT,K,Финансы и страхование,-0.07591583024603304,1995,BA:2252,5,0.9816153622253515,127.117,124.78,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
PRT,M,Профессиональные и научные услуги,-0.058521563834704735,1995,BA:2252,8,0.9985960234130773,198.009,197.731,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ROU,B,Добыча полезных ископаемых,0.7557515895349987,1997,BA:436,6,0.9884045650649268,235.265,232.53699999999998,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
ROU,C,Обрабатывающая промышленность,0.6830402252160575,1997,BA:436,9,0.9999995911682529,2445.994,2445.993,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
ROU,DE,Энергетика и ЖКХ,0.6758392327625251,1997,BA:436,8,1.0,228.74,228.74,sum_digits,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
ROU,F,Строительство,0.6342188591063259,1997,BA:436,7,0.9963351847100015,483.244,481.47299999999996,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
ROU,H,Транспорт и логистика,0.7148238566723699,1997,BA:436,8,1.0,527.781,527.781,sum_digits,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
ROU,J,ИТ и связь,0.17358385727677417,1997,BA:436,8,0.995858573724824,174.819,174.095,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
ROU,K,Финансы и страхование,0.1527130993998759,1997,BA:436,6,0.995857053139118,98.722,98.313,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
ROU,M,Профессиональные и научные услуги,0.17358385727677417,1997,BA:436,8,0.995858573724824,174.819,174.095,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,5,2,False
SVN,B,Добыча полезных ископаемых,0.4868405712881472,1996,BA:446,5,0.9554439226821012,9.157,8.749,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,3,1,False
