scenario,throttle_scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,va_ai_bn_rub,va_share_ai,margin_ai,adaptation_managed,lp_gain_vs_cf_pct,delta_k_need_managed_bn_rub,cumulative_delta_k_need_managed_bn_rub,incremental_profit_pool_vs_cf_bn_rub,cumulative_net_value_after_capex_bn_rub,transition_risk_score,strategy_capacity_index,adaptive_potential,credit_potential,bank_profitability,financial_stability,strategic_convergence,base_forward_index_no_gate,financial_risk_penalty,forward_resilience_index,forward_rank
Base,BaseThrottle,2025,G,Оптовая и розничная торговля,hybrid,medium,22452.634756008105,0.1767560851557465,0.4142283738299512,0.0096454859873537,0.1351280195685422,3.7163015689788144,3.7163015689788144,21.18734001791745,17.471038448938636,0.0,31.1253913178356,0.04619600259951432,0.11272581419620176,0.05033561937855225,0.6241199764161475,0.03443158297039336,0.0893948945288957,1.0,0.0893948945288957,8
Base,BaseThrottle,2026,G,Оптовая и розничная торговля,hybrid,medium,22769.057765203623,0.1734367503864827,0.4157350034324252,0.0215817748967039,0.3026017661698521,4.598923191611283,8.315224760590098,47.50019713544316,60.37231239277051,0.6505787187119497,31.280563073657152,0.08685096663906212,0.1490927407177183,0.09644022679018044,0.619367429335285,0.05828111549588466,0.1337893303562774,1.0,0.1337893303562774,6
Base,BaseThrottle,2027,G,Оптовая и розничная торговля,hybrid,medium,23095.05388332284,0.1700492809057568,0.4166240123301017,0.0362861638059382,0.5092988330541282,5.665442223015886,13.980666983605984,80.6774740440269,135.3843442137815,1.5695036792834856,31.4717201294772,0.12078836015268163,0.19785273602800812,0.1445566397309055,0.611365513310753,0.09403654923790138,0.18006880623451418,1.0,0.18006880623451418,5
Base,BaseThrottle,2028,G,Оптовая и розничная торговля,hybrid,medium,23431.91860442908,0.1665857403729025,0.4177531829687989,0.0542990591889862,0.7630835843174033,6.940174031836236,20.92084101544222,122.2214497755831,250.6656199575284,2.887847819576665,31.70588776945682,0.15358146250160742,0.24188140041453277,0.19770897469566343,0.5988611797295693,0.13214424221356796,0.22300753110592947,1.0,0.22300753110592947,5
Base,BaseThrottle,2029,G,Оптовая и розничная торговля,hybrid,medium,23781.11572427911,0.1630439013726722,0.4191248431154324,0.0762121308709584,1.0726822538354996,8.442869833581142,29.363710849023363,173.84715912177307,416.0699092457203,4.790310774558233,31.990757701322455,0.18734234420011472,0.28394391731511015,0.2569675489788663,0.5782994901623907,0.18789743628077474,0.2690637772739272,1.0,0.2690637772739272,5
Base,BaseThrottle,2030,G,Оптовая и розничная торговля,hybrid,medium,24144.241690999133,0.1594335375915179,0.4207788962088949,0.1026430860067067,1.447377729659283,10.183561530167976,39.54727237919134,237.43944214177827,643.3257898573306,7.273732489532235,32.33436011808719,0.22294801011573367,0.3248446604265163,0.32319393746111436,0.5455625188464481,0.25173097918135195,0.3139682894041419,1.0,0.3139682894041419,4
Base,BaseThrottle,2025,H,Транспорт и логистика,hardware,medium,12781.007623639089,0.1006171835265648,0.4641785951373122,0.0046643595006315,0.0419880480198475,7.727704495307234,7.727704495307234,3.416162063561387,-4.311542431745846,0.0,38.541979235505686,0.044075623028543016,0.18915339641536744,0.03661577791330173,0.5495248502465389,0.0670636042260355,0.10873141951832446,1.0,0.10873141951832446,6
Base,BaseThrottle,2026,H,Транспорт и логистика,hardware,medium,13085.694704788528,0.0996765166811824,0.4652302603119362,0.0100015528592291,0.0900545004705932,8.842425868755303,16.570130364062535,7.404716125733103,-5.749252174768046,1.6722396171018874,38.590013975733065,0.044263885643440345,0.23277666202166836,0.03667690226183804,0.5364505466379327,0.06422334174092242,0.11318462004270459,1.0,0.11318462004270459,8
Base,BaseThrottle,2027,H,Транспорт и логистика,hardware,medium,13398.053231553293,0.0986500975088822,0.4654224274659553,0.0161000531521599,0.1450055098368263,10.103725521571446,26.673855885633984,12.153477564435889,-3.699500131903605,3.9178774839411936,38.64490047836944,0.0537382203566699,0.26545812820233394,0.038732477059369205,0.5158836861440684,0.11020408377925611,0.13670859307026473,1.0,0.13670859307026473,8
Base,BaseThrottle,2028,H,Транспорт и логистика,hardware,medium,13718.339010261649,0.0975284909140537,0.4656839239500971,0.0230572407286854,0.2077306282927349,11.526360629478283,38.20021651511227,17.7838509391122,2.5579901777303107,7.027236428918407,38.70751516655817,0.0784643698289847,0.29476978664173215,0.05123723793525049,0.4807129659323266,0.1536593811685601,0.16715162810925033,1.0,0.16715162810925033,8
